Experiment,Accuracy,Precision,Recall,F1-Score,Loss
CNN,0.9589461088180542,0.9541794982241799,0.9306533544577006,0.9372546440749338,0.12445178627967834
CNN-B,0.8939951658248901,0.8972914116526759,0.8417871624194607,0.8442532243071451,0.3897770047187805
CNN-D,0.961397111415863,0.950220370006317,0.9487728178449489,0.9475032649251321,0.11407078057527542
CNN-C,0.9544118046760559,0.9448961992338689,0.9280595130372041,0.9347145759927437,0.1366943120956421
CNN-BC,0.972610354423523,0.9675015943446826,0.953968377094537,0.9574633233901494,0.0924840196967125
CNN-DC,0.9399510622024536,0.9233281843899155,0.9207918636504925,0.9200455722815224,0.18606185913085938
CNN-BD,0.9458333849906921,0.9501304670466555,0.9050131428591285,0.916215506624792,0.15935789048671722
CNN-BDC,0.9109069108963013,0.9046635841488362,0.8863536630285496,0.8792567989568189,0.3070679306983948
