Experiment,Accuracy,Precision,Recall,F1-Score,Loss
FasterRCNN,0.9284314513206482,0.9207699368156345,0.9036975746047096,0.9087680807040778,0.2284725308418274
CNNTransformer,0.9232843518257141,0.9126371050995714,0.8876975159436169,0.8943698231902705,0.22715146839618683
ViT,0.9425245523452759,0.9306988826459438,0.9261087561940534,0.9271523561535898,0.17610161006450653
RepVGG,0.9794731140136719,0.9786081064280152,0.9756974371842495,0.9766962481432246,0.06554418057203293
